"","Latitude","Longitude","X100","NPP","W","K","z_star"
"274",-73.5,-114.5,-1.708,628.2528,4.04399156439374,0.0115,351.651440382064
"275",-73.5,-113.5,-1.695,636.823,4.06689736882115,0.011,369.717942620104
"276",-73.5,-112.5,-1.747,521.4478,3.83403145149129,0.0104,368.656870335701
"277",-73.5,-111.5,-1.747,617.46775,4.00275068276903,0.0119,336.365603594036
"278",-73.5,-110.5,-1.759,521.3895,3.82755057462377,0.0111,344.824376092232
"279",-73.5,-109.5,-1.704,521.3895,3.85688258978519,0.0107,360.456316802354
"280",-73.5,-108.5,-1.662,521.3895,3.87943285806727,0.012,323.286071505606
"281",-73.5,-107.5,-1.71,521.3895,3.85367184108443,0.0112,344.077842953967
"282",-73.5,-106.5,-1.744,109.819033333333,3.1890330625182,0.0105,303.717434525543
"283",-73.5,-105.5,-1.778,109.819033333333,3.17401848779696,0.0115,276.001607634518
"285",-73.5,-42.5,-1.859,109.81024,3.13852029067068,0.0101,310.744583234721
"286",-73.5,-41.5,-1.807,109.81024,3.16125534643053,0.0111,284.797778957705
"287",-73.5,-40.5,-1.834,109.81024,3.14943012521274,0.0108,291.613900482661
"288",-73.5,-39.5,-1.815,109.81024,3.15774695582958,0.0112,281.941692484784
"289",-73.5,-38.5,-1.825,109.81024,3.15336694250954,0.0108,291.978420602735
"290",-73.5,-37.5,-1.826,109.81024,3.15292927546264,0.0111,284.047682474112
"291",-73.5,-36.5,-1.88,109.81024,3.12938524101513,0.0114,274.507477282029
"292",-73.5,-35.5,-1.87,109.81024,3.13373194385343,0.0109,287.498343472792
"293",-73.5,-34.5,-1.924,109.81024,3.11033126264897,0.0114,272.836075670962
"294",-73.5,-33.5,-1.931,109.81024,3.10731066280163,0.0113,274.983244495719
"295",-73.5,-32.5,-1.931,109.81024,3.10731066280163,0.011,282.482787527421
"296",-73.5,-31.5,-1.888,109.81024,3.12591222015375,0.0115,271.818453926413
"297",-73.5,-30.5,-1.904,109.81024,3.11897773732596,0.0119,262.09896952319
"298",-73.5,-29.5,-1.898,109.81024,3.1215763638128,0.012,260.131363651066
"299",-73.5,-28.5,-1.895,109.81024,3.12287648885131,0.0113,276.360751225779
"300",-73.5,-27.5,-1.895,109.81024,3.12287648885131,0.0119,262.426595701791
"301",-73.5,-26.5,-1.888,109.81024,3.12591222015375,0.01,312.591222015375
"302",-73.5,-25.5,-1.882,109.81024,3.12851662421653,0.0119,262.900556656852
"303",-73.5,-24.5,-1.785,109.81024,3.1709235325227,0.0114,278.151187063395
"304",-73.5,-23.5,-1.73,109.81024,3.19522355817051,0.0101,316.358768135694
"305",-73.5,-22.5,-1.941,109.81024,3.10300060810663,0.0109,284.678954872168
"306",-73.5,-21.5,-1.892,109.81024,3.1241771553871,0.011,284.016105035191
"307",-73.5,170.5,-1.773,243.036333333333,3.37177874255538,0.0101,333.839479460929
"308",-73.5,171.5,-1.26,240.577333333333,3.61663343211797,0.0115,314.489863662432
"309",-73.5,172.5,-0.833,219.97075,3.80216452259628,0.0109,348.822433265713
"310",-73.5,173.5,-1.375,216.48175,3.52110325378997,0.01,352.110325378997
"311",-73.5,174.5,-1.546,237.4905,3.47106492625351,0.01,347.106492625351
"312",-73.5,175.5,-1.483,251.6335,3.52383251205235,0.0114,309.108115092311
"313",-73.5,176.5,-1.235,204.823,3.5714720991478,0.0116,307.885525788603
"314",-73.5,178.5,-1.537,170.454,3.37246793273697,0.01,337.246793273697
"315",-73.5,179.5,-1.448,160.80425,3.39964281783275,0.0104,326.888732483919
"316",-72.5,-179.5,-1.437,162.4015,3.4072774626292,0.0114,298.88398794993
"317",-72.5,-178.5,-1.355,168.9385,3.45639895017013,0.0113,305.876013289392
"318",-72.5,-176.5,-1.402,154.154,3.41122915582383,0.0111,307.317941966111
"319",-72.5,-175.5,-1.094,147.5495,3.54969594296446,0.0111,319.792427294096
"320",-72.5,-174.5,-1.316,138.82625,3.42854256228964,0.0115,298.134135851273
"321",-72.5,-173.5,-0.945,145.576,3.620667901515,0.0105,344.82551443
"322",-72.5,-172.5,-0.985,213.275333333333,3.71162406795979,0.0108,343.668895181462
"323",-72.5,-169.5,-1.395,124.499,3.36943150582319,0.012,280.785958818599
"324",-72.5,-168.5,-0.846,127.153,3.64055926217,0.0101,360.45141209604
"325",-72.5,-167.5,-0.94,129.987,3.59793784858283,0.011,327.085258962076
"326",-72.5,-166.5,-0.845,120.561,3.63031566481467,0.0115,315.679623027363
"327",-72.5,-165.5,-1.219,120.561,3.44666538205228,0.012,287.222115171023
"328",-72.5,-164.5,-1.137,120.561,3.4861189548151,0.0108,322.78879211251
"329",-72.5,-163.5,-1.356,120.561,3.3817427032493,0.0119,284.18005909658
